county,pop_2019,red,orange,yellow
".Alpine County, California","1,117",5.00,2.00,1.00
".Sierra County, California","3,115",5.00,2.00,1.00
".Modoc County, California","9,475",5.00,2.00,1.00
".Trinity County, California","13,354",5.00,2.00,1.00
".Mono County, California","13,961",5.00,2.00,1.00
".Mariposa County, California","17,795",5.00,2.00,1.00
".Inyo County, California","18,453",5.00,2.00,1.00
".Plumas County, California","18,997",5.00,2.00,1.00
".Colusa County, California","22,593",5.00,2.00,1.00
".Del Norte County, California","27,558",5.00,2.00,1.00
".Glenn County, California","29,348",5.00,2.00,1.00
".Lassen County, California","30,065",5.00,2.00,1.00
".Amador County, California","38,531",6.00,3.00,2.00
".Siskiyou County, California","43,956",6.00,3.00,2.00
".Calaveras County, California","44,289",6.00,3.00,2.00
".Tuolumne County, California","52,351",6.00,3.00,2.00
".San Benito County, California","64,022",6.00,3.00,2.00
".Lake County, California","64,871",6.00,3.00,2.00
".Tehama County, California","65,885",6.00,3.00,2.00
".Yuba County, California","79,290",7.00,4.00,3.00
".Mendocino County, California","88,439",7.00,4.00,3.00
".Nevada County, California","98,710",7.00,4.00,3.00
".Sutter County, California","105,747",7.00,4.00,3.00
".Humboldt County, California","134,098",9.39,5.36,1.34
".Napa County, California","139,652",9.78,5.59,1.40
".Kings County, California","156,444",10.95,6.26,1.56
".Madera County, California","160,089",11.21,6.40,1.60
".Shasta County, California","177,925",12.45,7.12,1.78
".Imperial County, California","191,649",13.42,7.67,1.92
".El Dorado County, California","193,098",13.52,7.72,1.93
".Butte County, California","217,769",15.24,8.71,2.18
".Yolo County, California","223,612",15.65,8.94,2.24
".Marin County, California","260,800",18.26,10.43,2.61
".Santa Cruz County, California","273,999",19.18,10.96,2.74
".San Luis Obispo County, California","278,862",19.52,11.15,2.79
".Merced County, California","287,420",20.12,11.50,2.87
".Placer County, California","400,434",28.03,16.02,4.00
".Solano County, California","444,255",31.10,17.77,4.44
".Monterey County, California","448,732",31.41,17.95,4.49
".Santa Barbara County, California","456,373",31.95,18.25,4.56
".Tulare County, California","484,423",33.91,19.38,4.84
".Sonoma County, California","496,668",34.77,19.87,4.97
".Stanislaus County, California","562,303",39.36,22.49,5.62
".San Mateo County, California","778,001",54.46,31.12,7.78
".San Joaquin County, California","782,545",54.78,31.30,7.83
".Ventura County, California","852,747",59.69,34.11,8.53
".San Francisco County, California","892,280",62.46,35.69,8.92
".Kern County, California","927,251",64.91,37.09,9.27
".Fresno County, California","1,032,227",72.26,41.29,10.32
".Contra Costa County, California","1,160,099",81.21,46.40,11.60
".Sacramento County, California","1,567,975",109.76,62.72,15.68
".Alameda County, California","1,685,886",118.01,67.44,16.86
".Santa Clara County, California","1,967,585",137.73,78.70,19.68
".San Bernardino County, California","2,217,398",155.22,88.70,22.17
".Riverside County, California","2,468,145",172.77,98.73,24.68
".Orange County, California","3,228,519",226.00,129.14,32.29
".San Diego County, California","3,370,418",235.93,134.82,33.70
".Los Angeles County, California","10,257,557",718.03,410.30,102.58
